                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2458,                0.92979,                 1.1616,                 0.7133,                0.52123,                0.52358,                0.27839,                 1.3533,                0.90505,                 1.2666,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.2393,                0.91507,                 1.1486,                0.70706,                0.46757,                 0.5109,                 0.2644,                 1.4309,                 1.0995,                 1.2903,              0.0006535,              0.0006535,              0.0006535
                     37,                  1.235,                0.89132,                  1.142,                0.47942,                 0.5547,                0.50308,                0.26583,                 1.3692,                0.93586,                 1.2591,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.2301,                0.91206,                 1.1391,                0.50519,                0.51994,                0.51308,                  0.282,                 1.3436,                 0.9808,                 1.2678,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.2282,                0.88858,                 1.1352,                0.46117,                0.49164,                0.49061,                0.26959,                 1.3692,                0.90794,                 1.2761,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.2097,                0.88249,                 1.1405,                0.54446,                0.49549,                0.53498,                 0.2884,                 1.3746,                0.88845,                 1.2585,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.1988,                0.86175,                 1.1337,                0.63794,                0.57661,                0.52763,                0.28791,                  1.357,                0.88614,                 1.2779,               0.000604,               0.000604,               0.000604
                     42,                 1.1991,                0.84574,                   1.13,                0.66418,                0.55135,                0.52127,                0.28477,                 1.3909,                0.88616,                 1.2774,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.1884,                0.85369,                 1.1279,                0.72857,                0.49347,                0.53546,                0.28884,                 1.3522,                0.89268,                 1.2623,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.1927,                 0.9156,                 1.1596,                 0.7105,                0.53849,                0.53703,                0.29516,                 1.3347,                0.84383,                 1.2667,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.1917,                0.85052,                 1.1156,                0.73669,                0.51144,                0.55046,                0.28842,                 1.3497,                0.87924,                 1.2606,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1628,                 0.8216,                 1.1022,                0.49917,                0.50181,                0.51346,                0.28396,                 1.3792,                0.87867,                 1.2673,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.1663,                0.81962,                 1.1006,                0.68736,                0.49932,                 0.5029,                0.28104,                 1.3312,                0.86512,                 1.2757,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1598,                0.82259,                 1.0977,                0.55581,                0.48117,                0.48962,                0.27177,                 1.3257,                0.88467,                  1.254,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.1503,                0.81296,                 1.1004,                0.56172,                0.52566,                0.54428,                0.28942,                  1.325,                0.86742,                 1.2696,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.1642,                0.81868,                  1.095,                0.51505,                0.54369,                0.53403,                 0.2863,                 1.3576,                0.85935,                 1.2745,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.1584,                0.79954,                 1.1012,                 0.6805,                0.47102,                0.49797,                0.25075,                 1.5269,                0.96099,                 1.3382,               0.000505,               0.000505,               0.000505
                     52,                 1.1588,                0.81077,                 1.0989,                 0.4452,                0.50423,                0.46834,                0.23799,                 1.4825,                0.92912,                 1.3063,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1248,                0.78607,                 1.0846,                0.77207,                0.53008,                0.55234,                0.29637,                 1.3347,                0.83956,                 1.2749,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.1309,                0.78162,                 1.0966,                0.70315,                0.50547,                0.52627,                0.28413,                 1.3715,                0.83785,                 1.3008,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.1213,                0.78063,                 1.0791,                0.54216,                0.55924,                 0.5617,                0.30292,                  1.337,                0.84916,                 1.2652,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.1172,                0.78912,                 1.0986,                0.74883,                0.50157,                 0.5342,                 0.2888,                 1.4107,                0.86022,                 1.3122,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.1145,                0.77234,                 1.0791,                0.70575,                 0.5246,                0.51435,                0.28448,                 1.3752,                0.82042,                 1.3254,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.1322,                0.76664,                  1.086,                0.49687,                0.52753,                0.52971,                0.29064,                 1.3695,                0.82481,                 1.2827,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1201,                0.76765,                 1.0856,                0.50867,                0.55573,                0.52256,                0.28978,                 1.3304,                0.80771,                 1.2955,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.1326,                0.77212,                 1.0769,                0.52198,                0.53342,                0.51951,                0.28623,                 1.3642,                0.83774,                 1.2894,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.1069,                0.75246,                 1.0793,                0.55005,                0.52393,                0.52714,                0.28921,                 1.3616,                0.82921,                 1.2823,               0.000406,               0.000406,               0.000406
                     62,                 1.1011,                0.74044,                 1.0732,                0.53673,                0.53679,                0.52093,                0.27861,                 1.3926,                0.84182,                 1.3174,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.0849,                0.73879,                  1.059,                0.72378,                0.50537,                 0.5352,                0.29645,                 1.3359,                0.81711,                 1.2779,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.0977,                0.76343,                 1.0705,                 0.5654,                0.52303,                0.53915,                0.29773,                 1.3539,                 0.8346,                 1.2683,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.0958,                0.73407,                 1.0651,                0.52839,                0.52471,                0.52298,                0.29185,                 1.3494,                0.82822,                 1.2983,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.0727,                0.71981,                 1.0633,                 0.7294,                0.51067,                0.53473,                0.29927,                 1.3597,                0.80904,                 1.2768,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0695,                0.72557,                  1.056,                0.67515,                0.53474,                 0.5182,                 0.2919,                 1.3476,                0.85361,                 1.2742,              0.0003466,              0.0003466,              0.0003466
